"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","39/842","316/18870",9.02199997301797e-09,2.7219904624476e-06,2.08818798137097e-06,"FGFR2/EDN1/CDH3/DKK1/SOX7/FERMT1/EGFR/GATA3/BMP2/MCC/YAP1/RARG/TCF7L1/SOX9/DAB2IP/SMAD3/SNAI2/TPBG/LGR4/WLS/KLF4/TCF7L2/KANK1/BCL9L/TLE2/LRP5/CTNND1/TMEM88/FOXO1/CCDC88C/AMFR/CCNYL1/FZD6/SDC1/SFRP1/NPHP3/WWTR1/IGFBP6/LATS2",39
"GO:0072073","GO:0072073","kidney epithelium development","25/842","150/18870",1.18163848947769e-08,3.36701322918392e-06,2.58302027699859e-06,"FGFR2/TACSTD2/GATA3/BMP2/SDC4/YAP1/PBX1/SOX9/SMAD3/LGR4/CD34/AQP1/IRX3/NOTCH2/SPRY1/PODXL/SDC1/SFRP1/LAMA5/EFNB2/HS2ST1/HES1/WWTR1/MYC/PECAM1",25
"GO:0016055","GO:0016055","Wnt signaling pathway","48/842","459/18870",3.98451623776965e-08,1.0168651290621e-05,7.80092939515064e-06,"FGFR2/EDN1/CDH3/DKK1/SOX7/FERMT1/AMOTL2/EGFR/GATA3/BMP2/MCC/YAP1/RARG/TCF7L1/SOX9/CCND1/DAB2IP/SMAD3/SNAI2/TPBG/LGR4/WLS/KLF4/TCF7L2/KANK1/BCL9L/MDFI/TLE2/LRP5/CTNND1/PLPP3/TMEM88/TAX1BP3/GRB10/ITGA3/TMEM237/FOXO1/CCDC88C/AMFR/CCNYL1/FZD6/SDC1/SFRP1/NPHP3/WWTR1/NDRG2/IGFBP6/LATS2",48
"GO:0060562","GO:0060562","epithelial tube morphogenesis","39/842","334/18870",4.16917930607284e-08,1.0168651290621e-05,7.80092939515064e-06,"FGFR2/EDN1/EPHA2/MET/TACSTD2/GATA3/BMP2/SDC4/YAP1/IFT172/RARG/PBX1/SOX9/SMAD3/ADM/LGR4/TGFBR2/IRX3/NOTCH2/CTSH/TGFB2/LRP5/DDR1/MKKS/SPRY1/PLXNB2/DLG5/PODXL/FZD6/GRHL2/SFRP1/LAMA5/BCL10/EFNB2/HS2ST1/HES1/NPHP3/SPINT2/MYC",39
"GO:0010632","GO:0010632","regulation of epithelial cell migration","36/842","295/18870",4.49740835506155e-08,1.0168651290621e-05,7.80092939515064e-06,"ANXA3/EDN1/EPHA2/ITGA2/MET/CEACAM1/TACSTD2/GATA3/MCC/MARVELD3/SOX9/RIN2/DOCK5/DAB2IP/STC1/TGFBR2/ADAM9/PLK2/KLF4/CTSH/TGFB2/HBEGF/PLPP3/CD40/EFNA1/RGCC/ITGA3/RREB1/ZC3H12A/SEMA4A/DOCK1/PIK3CB/SP100/PTGS2/SP1/BMPR2",36
"GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","42/842","376/18870",4.51691178589977e-08,1.0168651290621e-05,7.80092939515064e-06,"DKK1/CEACAM1/GPRC5A/SFN/BMP2/IGFBP3/PPP1R1B/DAB2IP/SORL1/PTPRB/OCLN/TRIB2/GPD1L/DEPTOR/PTPN13/TGFB2/LRP5/RGS14/SPRY1/LGALS3/SLC27A1/PLPP3/PYCARD/GRB10/ERRFI1/CHP1/HEG1/PRKCD/SWAP70/SPRED2/SH3BP5/ZC3H12A/SOCS3/HEXIM1/SFRP1/PIK3CB/CDKN1C/WWTR1/HIPK3/LATS2/IKBKB/PPP2R5A",42
"GO:0198738","GO:0198738","cell-cell signaling by wnt","48/842","461/18870",4.55993331417981e-08,1.0168651290621e-05,7.80092939515064e-06,"FGFR2/EDN1/CDH3/DKK1/SOX7/FERMT1/AMOTL2/EGFR/GATA3/BMP2/MCC/YAP1/RARG/TCF7L1/SOX9/CCND1/DAB2IP/SMAD3/SNAI2/TPBG/LGR4/WLS/KLF4/TCF7L2/KANK1/BCL9L/MDFI/TLE2/LRP5/CTNND1/PLPP3/TMEM88/TAX1BP3/GRB10/ITGA3/TMEM237/FOXO1/CCDC88C/AMFR/CCNYL1/FZD6/SDC1/SFRP1/NPHP3/WWTR1/NDRG2/IGFBP6/LATS2",48
"GO:0010563","GO:0010563","negative regulation of phosphorus metabolic process","42/842","377/18870",4.87105381813912e-08,1.04098479305148e-05,7.9859645492123e-06,"DKK1/CEACAM1/GPRC5A/SFN/BMP2/IGFBP3/PPP1R1B/DAB2IP/SORL1/PTPRB/OCLN/TRIB2/GPD1L/DEPTOR/PTPN13/TGFB2/LRP5/RGS14/SPRY1/LGALS3/SLC27A1/PLPP3/PYCARD/GRB10/ERRFI1/CHP1/HEG1/PRKCD/SWAP70/SPRED2/SH3BP5/ZC3H12A/SOCS3/HEXIM1/SFRP1/PIK3CB/CDKN1C/WWTR1/HIPK3/LATS2/IKBKB/PPP2R5A",42
"GO:0035633","GO:0035633","maintenance of blood-brain barrier","12/842","38/18870",5.33725241705186e-08,1.09499070588236e-05,8.40027348839573e-06,"CLDN1/TJP2/TSPAN12/CLDN5/JAM2/OCLN/GJA1/F11R/SLC12A2/PTGS2/TJP1/PECAM1",12
"GO:0035272","GO:0035272","exocrine system development","13/842","46/18870",6.56790521354205e-08,1.29564560924066e-05,9.93960716122275e-06,"FGFR2/NTN4/EGFR/TGM2/SEMA3C/SOX9/SNAI2/NFIB/WLS/INSR/TGFB2/LAMA5/TWSG1",13
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","27/842","187/18870",7.11308321557759e-08,1.35122236343324e-05,1.03659668849236e-05,"FGFR2/NTN4/EDN1/EPHA2/MET/TACSTD2/TGM2/BMP2/YAP1/SEMA3C/PBX1/SOX9/SNAI2/ADM/LGR4/TGFBR2/CTSH/LRP5/DDR1/SPRY1/DLG5/SOCS3/GRHL2/SFRP1/LAMA5/SPINT2/MYC",27
"GO:0051347","GO:0051347","positive regulation of transferase activity","44/842","414/18870",9.26602753503674e-08,1.67088303274356e-05,1.28182589740391e-05,"LTF/FGFR2/EDN1/EPHA2/DKK1/MET/EGFR/ERBB3/TNFSF15/ERBB2/CCND1/DAB2IP/SORL1/IRS1/FLT1/ROBO1/TGFBR2/ADAM9/MAP3K5/KLF4/SERINC5/TNFRSF10B/CLU/EPHB4/RAD50/INSR/TGFB2/DDR1/CD40/EFNA1/RGCC/CAB39/PRKCD/POLG2/GRHL2/GAS6/CD74/BMI1/HLA-DRB1/RALB/ABI1/MYC/TAB2/ARRDC3",44
"GO:0048732","GO:0048732","gland development","46/842","443/18870",9.45658586089398e-08,1.67088303274356e-05,1.28182589740391e-05,"FGFR2/NTN4/EDN1/EPHA2/CLDN1/ITGA2/MET/CEACAM1/EGFR/ASS1/TGM2/GATA3/GPX1/BMP2/IRF6/SEMA3C/RARG/PBX1/SOX9/PITX1/CCND1/CDH1/SMAD3/SNAI2/NFIB/ROBO1/WLS/ALDH1A3/TGFBR2/NOTCH2/INSR/TGFB2/LRP5/STAT6/DDR1/SOD2/TGFBR3/RREB1/SFRP1/LAMA5/HES1/CDKN1C/NPHP3/BMPR1A/CAPN1/TWSG1",46
"GO:0022612","GO:0022612","gland morphogenesis","21/842","122/18870",9.77315090315983e-08,1.67088303274356e-05,1.28182589740391e-05,"FGFR2/NTN4/EPHA2/CEACAM1/EGFR/TGM2/SEMA3C/RARG/SOX9/SNAI2/NFIB/TGFBR2/NOTCH2/TGFB2/LRP5/STAT6/DDR1/SFRP1/LAMA5/CAPN1/TWSG1",21
"GO:0001894","GO:0001894","tissue homeostasis","34/842","279/18870",1.09901347128329e-07,1.76151252944124e-05,1.35135274857136e-05,"LTF/MUC4/PIGR/CDH3/CLDN1/TJP2/TSPAN12/NT5E/AZGP1/YAP1/IL20RA/CLDN5/JAM2/SOX9/OCLN/CD34/NFIB/CXADR/TFF1/IGHA1/LDB2/GJA1/F11R/MKKS/SLC39A8/DRAM2/SLC12A2/RAB3D/NPHP3/SLC2A1/WWTR1/PTGS2/TJP1/PECAM1",34
"GO:0060249","GO:0060249","anatomical structure homeostasis","34/842","279/18870",1.09901347128329e-07,1.76151252944124e-05,1.35135274857136e-05,"LTF/MUC4/PIGR/CDH3/CLDN1/TJP2/TSPAN12/NT5E/AZGP1/YAP1/IL20RA/CLDN5/JAM2/SOX9/OCLN/CD34/NFIB/CXADR/TFF1/IGHA1/LDB2/GJA1/F11R/MKKS/SLC39A8/DRAM2/SLC12A2/RAB3D/NPHP3/SLC2A1/WWTR1/PTGS2/TJP1/PECAM1",34
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","49/842","491/18870",1.23481938760147e-07,1.91920867848725e-05,1.47233010234586e-05,"MET/RHOV/TGM2/RAB4B/LPAR6/RND1/CDC42EP5/DHCR24/SGSM3/RIN2/DOCK5/DOCK9/DAB2IP/SH2D3A/SRGAP3/ROBO1/ARHGAP12/PLK2/EPS8L1/NOTCH2/KANK1/ARHGAP27/OBSCN/RAP2B/ADGRG1/TGFB2/F11R/ARHGAP29/SPRY1/TAX1BP3/RND3/CDC42EP4/CDC42EP1/ITGA3/CHP1/CCDC88C/HEG1/FBP1/IQSEC2/SWAP70/PSD4/DOCK1/NET1/PIK3CB/SIPA1L3/RRAS2/RALB/ARFGEF2/RHOC",49
"GO:0072001","GO:0072001","renal system development","37/842","324/18870",1.63733125819854e-07,2.45360119820528e-05,1.88229187568959e-05,"FGFR2/UPK3A/TACSTD2/ASS1/GATA3/BMP2/MME/SDC4/YAP1/PBX1/SOX9/NFIA/SMAD3/LGR4/CD34/AQP1/IRX3/NOTCH2/CTSH/TFAP2A/TGFB2/SPRY1/ITGA3/DLG5/PODXL/SDC1/SFRP1/LAMA5/EFNB2/HS2ST1/HES1/CDKN1C/NPHP3/WWTR1/MYC/RRM2B/PECAM1",37
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","38/842","338/18870",1.67432329766396e-07,2.45360119820528e-05,1.88229187568959e-05,"FGFR2/CDH3/DKK1/SOX7/FERMT1/EGFR/BMP2/MCC/YAP1/TCF7L1/SOX9/DAB2IP/SMAD3/SNAI2/TPBG/LGR4/WLS/TCF7L2/KANK1/MDFI/TLE2/CTNND1/PLPP3/TMEM88/TAX1BP3/GRB10/ITGA3/TMEM237/FOXO1/CCDC88C/AMFR/CCNYL1/FZD6/SFRP1/NPHP3/WWTR1/IGFBP6/LATS2",38
"GO:0006935","GO:0006935","chemotaxis","47/842","468/18870",1.85909315185772e-07,2.5956434768108e-05,1.991260288005e-05,"DEFB1/S100A14/CXCL6/CXCL17/EDN1/EPHA2/FLRT3/EFNA5/ITGA2/MET/CCL3L3/CXCL1/CX3CL1/SEMA3C/MTUS1/SEMA4B/ECSCR/ST6GAL1/SMAD3/CMTM8/TPBG/PLAU/FOSL1/CXADR/FLT1/CXCL2/ROBO1/CXCL8/CCL2/SEMA3F/TGFB2/HBEGF/ADAM10/S100A9/LGALS3/CXCL3/SLC12A2/PRKCD/CXCL16/SWAP70/SEMA4A/GAS6/CD74/F3/PIK3CB/EFNB2/BMPR2",47
"GO:0034612","GO:0034612","response to tumor necrosis factor","32/842","259/18870",1.88763940548064e-07,2.5956434768108e-05,1.991260288005e-05,"EDN1/CLDN1/CCL3L3/ASS1/CX3CL1/GATA3/SELE/TNFRSF21/DAB2IP/CXCL8/ZFP36L1/ADAM9/MAP3K5/CCL2/GBP1/PLVAP/ADAM10/PYCARD/CD40/YBX3/GBP3/CXCL16/ZC3H12A/GAS6/SFRP1/FAS/HES1/GCH1/PTGS2/IKBKB/GBP2/TNFRSF14",32
"GO:0050900","GO:0050900","leukocyte migration","42/842","396/18870",1.92307373988712e-07,2.5956434768108e-05,1.991260288005e-05,"S100A14/CXCL6/CXCL17/EDN1/ITGA2/CCL3L3/CXCL1/CX3CL1/GATA3/SELE/ITGA6/JAM2/MTUS1/CD34/CXADR/FLT1/CXCL2/CXCL8/CCL2/PLVAP/TGFB2/F11R/ADAM10/S100A9/LGALS3/PYCARD/ASCL2/CD47/CXCL3/LRCH1/ITGA3/SLC12A2/B4GALT1/ICAM1/CD9/CXCL16/SWAP70/GAS6/CD74/PECAM1/YES1/TNFRSF14",42
"GO:0042330","GO:0042330","taxis","47/842","470/18870",2.10806248686013e-07,2.71999836121944e-05,2.08665973140107e-05,"DEFB1/S100A14/CXCL6/CXCL17/EDN1/EPHA2/FLRT3/EFNA5/ITGA2/MET/CCL3L3/CXCL1/CX3CL1/SEMA3C/MTUS1/SEMA4B/ECSCR/ST6GAL1/SMAD3/CMTM8/TPBG/PLAU/FOSL1/CXADR/FLT1/CXCL2/ROBO1/CXCL8/CCL2/SEMA3F/TGFB2/HBEGF/ADAM10/S100A9/LGALS3/CXCL3/SLC12A2/PRKCD/CXCL16/SWAP70/SEMA4A/GAS6/CD74/F3/PIK3CB/EFNB2/BMPR2",47
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation","25/842","173/18870",2.1212699249128e-07,2.71999836121944e-05,2.08665973140107e-05,"FGFR2/CEACAM1/SFN/GATA3/PTPRK/MCC/IRF6/IFT172/MARVELD3/SOX9/DAB2IP/SNAI2/CAV2/NFIB/FLT1/ROBO1/CCL2/TGFB2/TGFBR3/RGCC/B4GALT1/CDK6/SFRP1/EFNB2/CDKN1C",25
"GO:0001822","GO:0001822","kidney development","36/842","314/18870",2.17885935553356e-07,2.72569991086138e-05,2.09103370243503e-05,"FGFR2/UPK3A/TACSTD2/ASS1/GATA3/BMP2/MME/SDC4/YAP1/PBX1/SOX9/SMAD3/LGR4/CD34/AQP1/IRX3/NOTCH2/CTSH/TFAP2A/TGFB2/SPRY1/ITGA3/DLG5/PODXL/SDC1/SFRP1/LAMA5/EFNB2/HS2ST1/HES1/CDKN1C/NPHP3/WWTR1/MYC/RRM2B/PECAM1",36
"GO:0045444","GO:0045444","fat cell differentiation","31/842","248/18870",2.25303544575008e-07,2.75138542886956e-05,2.11073847022902e-05,"ADGRF1/LAMB3/STEAP4/KLF5/GPX1/BMP2/YAP1/CCND1/PER2/SMAD3/SNAI2/TRIB2/ADIRF/ZFP36L1/CDS1/JDP2/KLF4/TCF7L2/MB/LRP5/MKKS/SOD2/FOXO1/RREB1/RORC/ZC3H12A/SFRP1/HES1/MEX3C/WWTR1/PTGS2",31
"GO:0003007","GO:0003007","heart morphogenesis","32/842","264/18870",2.92695423699532e-07,3.49124378640674e-05,2.67832434220036e-05,"FGFR2/EDN1/DKK1/ADGRG6/FHL2/GATA3/BMP2/DHRS3/YAP1/IFT172/CLDN5/SEMA3C/SOX9/SMAD3/SNAI2/PPP1R13L/ROBO1/TGFBR2/NOTCH2/EPHB4/INSR/TGFB2/MKKS/SPRY1/TGFBR3/EFNA1/HEG1/GRHL2/HES1/NPHP3/BMPR1A/BMPR2",32
"GO:0001763","GO:0001763","morphogenesis of a branching structure","27/842","203/18870",3.89563327891222e-07,4.541068883532e-05,3.48370267860619e-05,"FGFR2/NTN4/EDN1/EPHA2/MET/TACSTD2/TGM2/BMP2/YAP1/SEMA3C/PBX1/SOX9/SNAI2/ADM/LGR4/TGFBR2/CTSH/LRP5/DDR1/SPRY1/DLG5/SOCS3/GRHL2/SFRP1/LAMA5/SPINT2/MYC",27
"GO:0045785","GO:0045785","positive regulation of cell adhesion","47/842","482/18870",4.39432557816026e-07,5.00855464230755e-05,3.84233661079838e-05,"OLFM4/ITGA2/FERMT1/CX3CL1/TGM2/GATA3/SELE/ITGA6/AGR2/ERBB2/SDC4/SHB/RIN2/DOCK5/SMAD3/MAGI1/TGFBR2/ADAM9/IL6ST/CCL2/ADGRG1/TGFB2/F11R/ANK3/PLPP3/PYCARD/CD47/ITGA3/EFNB1/RREB1/PIEZO1/PODXL/TRIOBP/CDK6/DOCK1/SFRP1/CD74/BMI1/BCL10/HLA-DRA/EFNB2/HES1/HLA-DMA/HLA-DRB1/TJP1/YES1/TNFRSF14",47
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","27/842","205/18870",4.75031356740236e-07,5.29659962765364e-05,4.06331169678491e-05,"SCGB1A1/CEACAM1/ASS1/BMP2/ERBB2/SDC4/TNFRSF21/CDH1/PLA2G2A/KLF4/LGALS3/RGCC/ASCL2/DLG5/PRKCD/PPARA/PODXL/CD9/SWAP70/ZC3H12A/SOCS6/CD74/HLA-DRB1/SPINT2/IRF1/TNFRSF14/TWSG1",27
"GO:0007043","GO:0007043","cell-cell junction assembly","23/842","157/18870",5.03323420419935e-07,5.4468436746948e-05,4.17857213492096e-05,"EPHA2/CDH3/CLDN1/PARD6B/CLDN5/MARVELD3/CDH1/OCLN/SNAI2/IRX3/GJA1/F11R/RAMP2/CTNND1/CLDN4/DLG5/PKP4/CD9/GRHL2/TJP1/IKBKB/PECAM1/RHOC",23
"GO:0043542","GO:0043542","endothelial cell migration","33/842","284/18870",5.107773293951e-07,5.4468436746948e-05,4.17857213492096e-05,"ANXA3/EDN1/EPHA2/S100A2/S100P/MET/CEACAM1/GATA3/GPX1/RIN2/CLN3/DAB2IP/SNAI2/STC1/ROBO1/PLK2/KLF4/EPHB4/PXN/S100A9/PLPP3/CD40/EFNA1/RGCC/ZC3H12A/SEMA4A/PIK3CB/EFNB2/SP100/PTGS2/SP1/ID1/LGALS8",33
