"CpG","sample_id","Beta_value","sample_type","group","chr","pos","UCSC_RefGene_Name","UCSC_RefGene_Group","Position","Gene_Region","Label.x","Label.y"
"cg27056119","TCGA-HC-7821-01",0.6671,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7209-01",0.5097,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7742-01",0.1038,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6351-01",0.432,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-8474-01",0.7127,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7075-01",0.7513,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J9-A8CP-01",0.4386,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A8IM-01",0.1921,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6348-01",0.3045,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5789-01",0.0984,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KC-A7F6-01",0.5951,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6333-11",0.038,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KC-A4BL-01",0.2257,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A67Q-01",0.5137,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-2A-A8VL-01",0.4306,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9ZK-01",0.3478,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9O5-01",0.3459,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-A879-01",0.3662,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7819-11",0.1146,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VN-A88Q-01",0.5563,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7737-01",0.372,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8WS-01",0.58,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-8213-01",0.8232,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-M7-A721-01",0.4347,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9LZ-01",0.6273,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5765-01",0.6334,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8WW-01",0.6481,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A48F-01",0.7991,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9OQ-01",0.7296,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5514-01",0.5355,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6384-01",0.4246,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9ZG-01",0.2305,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8HM-01",0.5235,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6377-01",0.5665,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-M7-A722-01",0.6198,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6361-01",0.6655,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5511-01",0.6737,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9KY-01",0.5395,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7784-11",0.0579,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9LN-01",0.1354,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5526-01",0.4741,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7820-11",0.017,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YJ-A8SW-01",0.7242,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7794-01",0.3864,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A46B-01",0.3849,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5542-01",0.4176,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A9WJ-01",0.376,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7328-11",0.204,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A9Z8-01",0.362,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A46F-01",0.8476,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-YL-A8SK-01",0.3674,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-MG-AAMC-01",0.768,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-X4-A8KS-01",0.1991,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A67M-01",0.4081,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-ZG-A9L0-01",0.5515,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7077-01",0.8278,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-CH-5769-01",0.4306,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6353-11",0.2243,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6499-01",0.4615,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5519-01",0.5865,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-A67T-01",0.569,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7748-01",0.4568,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VN-A88R-01",0.5513,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-H9-A6BY-01",0.6894,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6365-01",0.3604,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7317-11",0.2657,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-7510-01",0.489,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KK-A6E3-01",0.5594,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-G9-6336-01",0.2729,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5517-01",0.375,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8MG-01",0.4334,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-KC-A7FE-01",0.306,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-7817-01",0.2691,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-J4-AAU2-01",0.7803,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-V1-A8MJ-01",0.2613,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-VP-A87C-01",0.1261,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-A7NN-01",0.1289,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-HC-A8D0-01",0.2286,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-7792-11",0.211,"Solid Tissue Normal","Normal","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
"cg27056119","TCGA-EJ-5497-01",0.4297,"Primary Tumor","Tumor","chr6",2842239,"SERPINB1","TSS200","chr6:2842239","Promoter","CpG-1 (chr6:2842239)","CpG-1 (chr6:2842239)"
