"CpG","sample_id","Beta_value"
"cg27056119","TCGA-EJ-5502-01",0.4083
"cg27056119","TCGA-EJ-5503-01",0.0463
"cg27056119","TCGA-EJ-5504-01",0.4188
"cg27056119","TCGA-EJ-5505-01",0.4356
"cg27056119","TCGA-EJ-5506-01",0.1535
"cg27056119","TCGA-EJ-5507-01",0.5438
"cg27056119","TCGA-EJ-5508-01",0.3766
"cg27056119","TCGA-EJ-5509-01",0.48
"cg27056119","TCGA-EJ-5510-01",0.2922
"cg27056119","TCGA-EJ-5511-01",0.6737
"cg27056119","TCGA-EJ-5512-01",0.4291
"cg27056119","TCGA-EJ-5514-01",0.5355
"cg27056119","TCGA-EJ-5515-01",0.1411
"cg27056119","TCGA-EJ-5516-01",0.3511
"cg27056119","TCGA-EJ-5517-01",0.375
"cg27056119","TCGA-EJ-5518-01",0.4602
"cg27056119","TCGA-EJ-5519-01",0.5865
"cg27056119","TCGA-EJ-5521-01",0.4889
"cg27056119","TCGA-EJ-5522-01",0.2309
"cg27056119","TCGA-EJ-5524-01",0.3314
"cg27056119","TCGA-EJ-5525-01",0.7755
"cg27056119","TCGA-EJ-5526-01",0.4741
"cg27056119","TCGA-EJ-5527-01",0.3656
"cg27056119","TCGA-EJ-5530-01",0.6346
"cg27056119","TCGA-EJ-5531-01",0.2885
"cg27056119","TCGA-EJ-5532-01",0.4829
"cg27056119","TCGA-EJ-5542-01",0.4176
"cg27056119","TCGA-EJ-7115-01",0.5387
"cg27056119","TCGA-EJ-7123-01",0.6837
"cg27056119","TCGA-EJ-7125-01",0.5743
"cg27056119","TCGA-EJ-7218-01",0.6353
"cg27056119","TCGA-EJ-7312-01",0.636
"cg27056119","TCGA-EJ-7314-01",0.4741
"cg27056119","TCGA-EJ-7315-01",0.5142
"cg27056119","TCGA-EJ-7317-01",0.7193
"cg27056119","TCGA-EJ-7318-01",0.5264
"cg27056119","TCGA-EJ-7321-01",0.6067
"cg27056119","TCGA-EJ-7325-01",0.6446
"cg27056119","TCGA-EJ-7327-01",0.5119
"cg27056119","TCGA-EJ-7328-01",0.3859
"cg27056119","TCGA-EJ-7330-01",0.2802
"cg27056119","TCGA-EJ-7331-01",0.488
"cg27056119","TCGA-EJ-7781-01",0.2315
"cg27056119","TCGA-EJ-7782-01",0.5901
"cg27056119","TCGA-EJ-7783-01",0.379
"cg27056119","TCGA-EJ-7784-01",0.7087
"cg27056119","TCGA-EJ-7785-01",0.3494
"cg27056119","TCGA-EJ-7786-01",0.5474
"cg27056119","TCGA-EJ-7788-01",0.5949
"cg27056119","TCGA-EJ-7789-01",0.8583
"cg27056119","TCGA-EJ-7791-01",0.4059
"cg27056119","TCGA-EJ-7792-01",0.2968
"cg27056119","TCGA-EJ-7793-01",0.5405
"cg27056119","TCGA-EJ-7794-01",0.3864
"cg27056119","TCGA-EJ-7797-01",0.3895
"cg27056119","TCGA-EJ-8468-01",0.5985
"cg27056119","TCGA-EJ-8469-01",0.7742
"cg27056119","TCGA-EJ-8470-01",0.5198
"cg27056119","TCGA-EJ-8472-01",0.7497
"cg27056119","TCGA-EJ-8474-01",0.7127
"cg27056119","TCGA-EJ-A46B-01",0.3849
"cg27056119","TCGA-EJ-A46D-01",0.1873
"cg27056119","TCGA-EJ-A46E-01",0.1038
"cg27056119","TCGA-EJ-A46F-01",0.8476
"cg27056119","TCGA-EJ-A46G-01",0.6986
"cg27056119","TCGA-EJ-A46H-01",0.0298
"cg27056119","TCGA-EJ-A46I-01",0.4642
"cg27056119","TCGA-EJ-A65B-01",0.361
"cg27056119","TCGA-EJ-A65D-01",0.9536
"cg27056119","TCGA-EJ-A65E-01",0.5324
"cg27056119","TCGA-EJ-A65F-01",0.6381
"cg27056119","TCGA-EJ-A65G-01",0.3799
"cg27056119","TCGA-EJ-A65J-01",0.4877
"cg27056119","TCGA-EJ-A65M-01",0.6468
"cg27056119","TCGA-EJ-A6RA-01",0.2868
"cg27056119","TCGA-EJ-A6RC-01",0.506
"cg27056119","TCGA-EJ-A7NF-01",0.6816
"cg27056119","TCGA-EJ-A7NG-01",0.1866
"cg27056119","TCGA-EJ-A7NH-01",0.3734
"cg27056119","TCGA-EJ-A7NJ-01",0.1677
"cg27056119","TCGA-EJ-A7NK-01",0.0763
"cg27056119","TCGA-EJ-A7NM-01",0.4636
"cg27056119","TCGA-EJ-A7NN-01",0.1289
"cg27056119","TCGA-EJ-A8FN-01",0.5424
"cg27056119","TCGA-EJ-A8FO-01",0.2151
"cg27056119","TCGA-EJ-A8FP-01",0.0691
"cg27056119","TCGA-EJ-A8FS-01",0.7243
"cg27056119","TCGA-EJ-A8FU-01",0.1814
"cg27056119","TCGA-EJ-AB20-01",0.5793
"cg27056119","TCGA-EJ-AB27-01",0.4039
"cg27056119","TCGA-FC-7708-01",0.3503
"cg27056119","TCGA-FC-7961-01",0.476
"cg27056119","TCGA-FC-A4JI-01",0.0178
"cg27056119","TCGA-FC-A5OB-01",0.8004
"cg27056119","TCGA-FC-A66V-01",0.0313
"cg27056119","TCGA-FC-A6HD-01",0.7396
"cg27056119","TCGA-FC-A8O0-01",0.0484
"cg27056119","TCGA-G9-6329-01",0.2834
"cg27056119","TCGA-G9-6332-01",0.7012
"cg27056119","TCGA-G9-6333-01",0.4782
"cg27056119","TCGA-G9-6336-01",0.2729
"cg27056119","TCGA-G9-6338-01",0.8086
"cg27056119","TCGA-G9-6339-01",0.5012
"cg27056119","TCGA-G9-6342-01",0.4859
"cg27056119","TCGA-G9-6343-01",0.4856
"cg27056119","TCGA-G9-6347-01",0.3122
"cg27056119","TCGA-G9-6348-01",0.3045
"cg27056119","TCGA-G9-6351-01",0.432
"cg27056119","TCGA-G9-6353-01",0.2812
"cg27056119","TCGA-G9-6354-01",0.6074
"cg27056119","TCGA-G9-6356-01",0.4016
"cg27056119","TCGA-G9-6361-01",0.6655
"cg27056119","TCGA-G9-6362-01",0.7344
"cg27056119","TCGA-G9-6363-01",0.5052
"cg27056119","TCGA-G9-6364-01",0.4565
"cg27056119","TCGA-G9-6365-01",0.3604
"cg27056119","TCGA-G9-6366-01",0.5526
"cg27056119","TCGA-G9-6367-01",0.1153
"cg27056119","TCGA-G9-6369-01",0.7754
"cg27056119","TCGA-G9-6370-01",0.1088
"cg27056119","TCGA-G9-6371-01",0.5712
"cg27056119","TCGA-G9-6373-01",0.5824
"cg27056119","TCGA-G9-6377-01",0.5665
"cg27056119","TCGA-G9-6378-01",0.3077
"cg27056119","TCGA-G9-6379-01",0.4069
"cg27056119","TCGA-G9-6384-01",0.4246
"cg27056119","TCGA-G9-6385-01",0.3635
"cg27056119","TCGA-G9-6494-01",0.3201
"cg27056119","TCGA-G9-6496-01",0.6797
"cg27056119","TCGA-G9-6498-01",0.601
"cg27056119","TCGA-G9-6499-01",0.4615
"cg27056119","TCGA-G9-7509-01",0.5692
"cg27056119","TCGA-G9-7510-01",0.489
"cg27056119","TCGA-G9-7519-01",0.4743
"cg27056119","TCGA-G9-7521-01",0.5051
"cg27056119","TCGA-G9-7522-01",0.4506
"cg27056119","TCGA-G9-7523-01",0.4262
"cg27056119","TCGA-G9-7525-01",0.6565
"cg27056119","TCGA-G9-A9S0-01",0.3456
"cg27056119","TCGA-G9-A9S4-01",0.6318
"cg27056119","TCGA-G9-A9S7-01",0.4939
"cg27056119","TCGA-H9-7775-01",0.6413
"cg27056119","TCGA-H9-A6BX-01",0.2286
"cg27056119","TCGA-H9-A6BY-01",0.6894
"cg27056119","TCGA-HC-7075-01",0.7513
"cg27056119","TCGA-HC-7077-01",0.8278
"cg27056119","TCGA-HC-7078-01",0.636
"cg27056119","TCGA-HC-7079-01",0.1471
"cg27056119","TCGA-HC-7080-01",0.8351
"cg27056119","TCGA-HC-7081-01",0.4221
"cg27056119","TCGA-HC-7209-01",0.5097
"cg27056119","TCGA-HC-7210-01",0.4371
"cg27056119","TCGA-HC-7211-01",0.5553
"cg27056119","TCGA-HC-7212-01",0.6506
"cg27056119","TCGA-HC-7213-01",0.6487
"cg27056119","TCGA-HC-7230-01",0.7204
"cg27056119","TCGA-HC-7231-01",0.5548
"cg27056119","TCGA-HC-7232-01",0.5059
"cg27056119","TCGA-HC-7233-01",0.54
"cg27056119","TCGA-HC-7736-01",0.461
"cg27056119","TCGA-HC-7737-01",0.372
"cg27056119","TCGA-HC-7738-01",0.5707
"cg27056119","TCGA-HC-7740-01",0.29335
"cg27056119","TCGA-HC-7742-01",0.1038
"cg27056119","TCGA-HC-7744-01",0.6888
"cg27056119","TCGA-HC-7745-01",0.3655
"cg27056119","TCGA-HC-7747-01",0.0969
"cg27056119","TCGA-HC-7748-01",0.4568
"cg27056119","TCGA-HC-7749-01",0.5836
"cg27056119","TCGA-HC-7750-01",0.345
"cg27056119","TCGA-HC-7752-01",0.7952
"cg27056119","TCGA-HC-7817-01",0.2691
"cg27056119","TCGA-HC-7818-01",0.5509
"cg27056119","TCGA-HC-7819-01",0.7296
"cg27056119","TCGA-HC-7820-01",0.4412
"cg27056119","TCGA-HC-7821-01",0.6671
"cg27056119","TCGA-HC-8213-01",0.8232
"cg27056119","TCGA-HC-8216-01",0.5383
"cg27056119","TCGA-HC-8256-01",0.6209
"cg27056119","TCGA-HC-8257-01",0.5638
"cg27056119","TCGA-HC-8258-01",0.2881
"cg27056119","TCGA-HC-8259-01",0.5995
"cg27056119","TCGA-HC-8260-01",0.2678
"cg27056119","TCGA-HC-8261-01",0.5058
"cg27056119","TCGA-HC-8262-01",0.6057
"cg27056119","TCGA-HC-8264-01",0.6518
"cg27056119","TCGA-HC-8265-01",0.6077
"cg27056119","TCGA-HC-8266-01",0.4647
"cg27056119","TCGA-HC-A48F-01",0.7991
"cg27056119","TCGA-HC-A4ZV-01",0.5979
"cg27056119","TCGA-HC-A631-01",0.8541
"cg27056119","TCGA-HC-A632-01",0.3719
"cg27056119","TCGA-HC-A6AL-01",0.6402
"cg27056119","TCGA-HC-A6AN-01",0.6046
"cg27056119","TCGA-HC-A6AO-01",0.7262
"cg27056119","TCGA-HC-A6AP-01",0.4137
"cg27056119","TCGA-HC-A6AQ-01",0.4779
"cg27056119","TCGA-HC-A6AS-01",0.4399
"cg27056119","TCGA-HC-A6HX-01",0.1745
"cg27056119","TCGA-HC-A6HY-01",0.2585
"cg27056119","TCGA-HC-A76W-01",0.473
"cg27056119","TCGA-HC-A76X-01",0.7553
"cg27056119","TCGA-HC-A8CY-01",0.4615
"cg27056119","TCGA-HC-A8D0-01",0.2286
"cg27056119","TCGA-HC-A8D1-01",0.2431
"cg27056119","TCGA-HC-A9TE-01",0.507
"cg27056119","TCGA-HC-A9TH-01",0.5043
"cg27056119","TCGA-HI-7168-01",0.5488
"cg27056119","TCGA-HI-7169-01",0.4945
"cg27056119","TCGA-HI-7170-01",0.4835
"cg27056119","TCGA-HI-7171-01",0.7671
"cg27056119","TCGA-J4-8198-01",0.6262
"cg27056119","TCGA-J4-8200-01",0.5404
"cg27056119","TCGA-J4-A67K-01",0.502
"cg27056119","TCGA-J4-A67L-01",0.4782
"cg27056119","TCGA-J4-A67M-01",0.4081
"cg27056119","TCGA-J4-A67N-01",0.634
"cg27056119","TCGA-J4-A67O-01",0.3732
"cg27056119","TCGA-J4-A67Q-01",0.5137
"cg27056119","TCGA-J4-A67R-01",0.4469
"cg27056119","TCGA-J4-A67S-01",0.498
"cg27056119","TCGA-J4-A67T-01",0.569
"cg27056119","TCGA-J4-A6G1-01",0.1733
"cg27056119","TCGA-J4-A6G3-01",0.2602
"cg27056119","TCGA-J4-A6M7-01",0.6975
"cg27056119","TCGA-J4-A83I-01",0.6597
"cg27056119","TCGA-J4-A83J-01",0.4851
"cg27056119","TCGA-J4-A83K-01",0.512
"cg27056119","TCGA-J4-A83L-01",0.4698
"cg27056119","TCGA-J4-A83M-01",0.5808
"cg27056119","TCGA-J4-A83N-01",0.6077
"cg27056119","TCGA-J4-AATV-01",0.3514
"cg27056119","TCGA-J4-AATZ-01",0.6497
"cg27056119","TCGA-J4-AAU2-01",0.7803
"cg27056119","TCGA-J9-A52B-01",0.5397
"cg27056119","TCGA-J9-A52C-01",0.2907
"cg27056119","TCGA-J9-A52D-01",0.929
"cg27056119","TCGA-J9-A52E-01",0.5294
"cg27056119","TCGA-J9-A8CK-01",0.3292
"cg27056119","TCGA-J9-A8CL-01",0.6377
"cg27056119","TCGA-J9-A8CM-01",0.4678
"cg27056119","TCGA-J9-A8CN-01",0.7818
"cg27056119","TCGA-J9-A8CP-01",0.4386
"cg27056119","TCGA-KC-A4BL-01",0.2257
"cg27056119","TCGA-KC-A4BN-01",0.484
"cg27056119","TCGA-KC-A4BO-01",0.0229
"cg27056119","TCGA-KC-A4BR-01",0.2029
"cg27056119","TCGA-KC-A4BV-01",0.5689
"cg27056119","TCGA-KC-A7F3-01",0.5041
"cg27056119","TCGA-KC-A7F5-01",0.9236
"cg27056119","TCGA-KC-A7F6-01",0.5951
"cg27056119","TCGA-KC-A7FA-01",0.3158
"cg27056119","TCGA-KC-A7FD-01",0.7185
"cg27056119","TCGA-KC-A7FE-01",0.306
"cg27056119","TCGA-KK-A59V-01",0.4291
"cg27056119","TCGA-KK-A59X-01",0.8083
"cg27056119","TCGA-KK-A59Y-01",0.7168
"cg27056119","TCGA-KK-A59Z-01",0.8142
"cg27056119","TCGA-KK-A5A1-01",0.8861
"cg27056119","TCGA-KK-A6DY-01",0.6189
"cg27056119","TCGA-KK-A6E0-01",0.6637
"cg27056119","TCGA-KK-A6E1-01",0.7269
"cg27056119","TCGA-KK-A6E2-01",0.7957
"cg27056119","TCGA-KK-A6E3-01",0.5594
"cg27056119","TCGA-KK-A6E4-01",0.6838
"cg27056119","TCGA-KK-A6E5-01",0.699
"cg27056119","TCGA-KK-A6E6-01",0.5884
"cg27056119","TCGA-KK-A6E7-01",0.5708
"cg27056119","TCGA-KK-A6E8-01",0.7392
"cg27056119","TCGA-KK-A7AP-01",0.7643
"cg27056119","TCGA-KK-A7AQ-01",0.684
"cg27056119","TCGA-KK-A7AU-01",0.7333
"cg27056119","TCGA-KK-A7AV-01",0.411
"cg27056119","TCGA-KK-A7AW-01",0.5464
"cg27056119","TCGA-KK-A7AY-01",0.6464
"cg27056119","TCGA-KK-A7AZ-01",0.1426
"cg27056119","TCGA-KK-A7B0-01",0.2585
"cg27056119","TCGA-KK-A7B1-01",0.4411
"cg27056119","TCGA-KK-A7B2-01",0.2301
"cg27056119","TCGA-KK-A7B3-01",0.6497
"cg27056119","TCGA-KK-A7B4-01",0.6399
"cg27056119","TCGA-KK-A8I4-01",0.1928
"cg27056119","TCGA-KK-A8I5-01",0.6911
"cg27056119","TCGA-KK-A8I6-01",0.3989
"cg27056119","TCGA-KK-A8I7-01",0.178
"cg27056119","TCGA-KK-A8I8-01",0.5353
"cg27056119","TCGA-KK-A8I9-01",0.4367
"cg27056119","TCGA-KK-A8IA-01",0.7149
"cg27056119","TCGA-KK-A8IB-01",0.2902
"cg27056119","TCGA-KK-A8IC-01",0.1386
"cg27056119","TCGA-KK-A8ID-01",0.6765
"cg27056119","TCGA-KK-A8IF-01",0.8982
"cg27056119","TCGA-KK-A8IG-01",0.4451
"cg27056119","TCGA-KK-A8IH-01",0.5367
"cg27056119","TCGA-KK-A8II-01",0.875
"cg27056119","TCGA-KK-A8IJ-01",0.5381
"cg27056119","TCGA-KK-A8IK-01",0.0211
"cg27056119","TCGA-KK-A8IL-01",0.4994
"cg27056119","TCGA-KK-A8IM-01",0.1921
"cg27056119","TCGA-M7-A71Y-01",0.2079
"cg27056119","TCGA-M7-A71Z-01",0.7753
"cg27056119","TCGA-M7-A720-01",0.1349
"cg27056119","TCGA-M7-A721-01",0.4347
"cg27056119","TCGA-M7-A722-01",0.6198
"cg27056119","TCGA-M7-A723-01",0.5257
"cg27056119","TCGA-M7-A724-01",0.9136
"cg27056119","TCGA-M7-A725-01",0.7238
"cg27056119","TCGA-MG-AAMC-01",0.768
"cg27056119","TCGA-QU-A6IL-01",0.7933
"cg27056119","TCGA-QU-A6IM-01",0.5035
"cg27056119","TCGA-QU-A6IN-01",0.8001
"cg27056119","TCGA-QU-A6IO-01",0.5609
"cg27056119","TCGA-QU-A6IP-01",0.4038
"cg27056119","TCGA-SU-A7E7-01",0.4073
"cg27056119","TCGA-TK-A8OK-01",0.4094
"cg27056119","TCGA-TP-A8TT-01",0.3883
"cg27056119","TCGA-TP-A8TV-01",0.8844
"cg27056119","TCGA-V1-A8MF-01",0.1727
"cg27056119","TCGA-V1-A8MG-01",0.4334
"cg27056119","TCGA-V1-A8MJ-01",0.2613
"cg27056119","TCGA-V1-A8MK-01",0.2953
"cg27056119","TCGA-V1-A8ML-01",0.503
"cg27056119","TCGA-V1-A8MM-01",0.5853
"cg27056119","TCGA-V1-A8MU-01",0.4022
"cg27056119","TCGA-V1-A8WL-01",0.5692
"cg27056119","TCGA-V1-A8WN-01",0.2833
"cg27056119","TCGA-V1-A8WS-01",0.58
"cg27056119","TCGA-V1-A8WV-01",0.0226
"cg27056119","TCGA-V1-A8WW-01",0.6481
"cg27056119","TCGA-V1-A8X3-01",0.4839
"cg27056119","TCGA-V1-A9O5-01",0.3459
"cg27056119","TCGA-V1-A9O7-01",0.3016
"cg27056119","TCGA-V1-A9O9-01",0.3225
"cg27056119","TCGA-V1-A9OA-01",0.3426
"cg27056119","TCGA-V1-A9OF-01",0.8052
"cg27056119","TCGA-V1-A9OH-01",0.3196
"cg27056119","TCGA-V1-A9OL-01",0.5328
"cg27056119","TCGA-V1-A9OQ-01",0.7296
"cg27056119","TCGA-V1-A9OT-01",0.5913
"cg27056119","TCGA-V1-A9OX-01",0.4086
"cg27056119","TCGA-V1-A9OY-01",0.3769
"cg27056119","TCGA-V1-A9Z7-01",0.401
"cg27056119","TCGA-V1-A9Z8-01",0.362
"cg27056119","TCGA-V1-A9Z9-01",0.4962
"cg27056119","TCGA-V1-A9ZG-01",0.2305
"cg27056119","TCGA-V1-A9ZI-01",0.3696
"cg27056119","TCGA-V1-A9ZK-01",0.3478
"cg27056119","TCGA-V1-A9ZR-01",0.3216
"cg27056119","TCGA-VN-A88I-01",0.1775
"cg27056119","TCGA-VN-A88K-01",0.6082
"cg27056119","TCGA-VN-A88L-01",0.4666
"cg27056119","TCGA-VN-A88M-01",0.661
"cg27056119","TCGA-VN-A88N-01",0.4289
"cg27056119","TCGA-VN-A88O-01",0.6662
"cg27056119","TCGA-VN-A88P-01",0.6742
"cg27056119","TCGA-VN-A88Q-01",0.5563
"cg27056119","TCGA-VN-A88R-01",0.5513
"cg27056119","TCGA-VN-A943-01",0.9121
"cg27056119","TCGA-VP-A872-01",0.4546
"cg27056119","TCGA-VP-A875-01",0.9315
"cg27056119","TCGA-VP-A876-01",0.5441
"cg27056119","TCGA-VP-A878-01",0.3148
"cg27056119","TCGA-VP-A879-01",0.3662
"cg27056119","TCGA-VP-A87B-01",0.8413
"cg27056119","TCGA-VP-A87C-01",0.1261
"cg27056119","TCGA-VP-A87D-01",0.2791
"cg27056119","TCGA-VP-A87E-01",0.4514
"cg27056119","TCGA-VP-A87H-01",0.3976
"cg27056119","TCGA-VP-A87J-01",0.7272
"cg27056119","TCGA-VP-A87K-01",0.7897
"cg27056119","TCGA-VP-AA1N-01",0.549
"cg27056119","TCGA-WW-A8ZI-01",0.8142
"cg27056119","TCGA-X4-A8KQ-01",0.3548
"cg27056119","TCGA-X4-A8KS-01",0.1991
"cg27056119","TCGA-XA-A8JR-01",0.474
"cg27056119","TCGA-XJ-A83F-01",0.6726
"cg27056119","TCGA-XJ-A83G-01",0.6557
"cg27056119","TCGA-XJ-A83H-01",0.4966
"cg27056119","TCGA-XJ-A9DI-01",0.098
"cg27056119","TCGA-XJ-A9DK-01",0.0836
"cg27056119","TCGA-XJ-A9DQ-01",0.1547
"cg27056119","TCGA-XJ-A9DX-01",0.6293
"cg27056119","TCGA-XK-AAIR-01",0.282
"cg27056119","TCGA-XK-AAIV-01",0.0345
"cg27056119","TCGA-XK-AAIW-01",0.6813
"cg27056119","TCGA-XK-AAJ3-01",0.6439
"cg27056119","TCGA-XK-AAJA-01",0.6135
"cg27056119","TCGA-XK-AAJP-01",0.6978
"cg27056119","TCGA-XK-AAJR-01",0.4469
"cg27056119","TCGA-XK-AAJT-01",0.5372
"cg27056119","TCGA-XK-AAJU-01",0.0395
"cg27056119","TCGA-XK-AAK1-01",0.6517
"cg27056119","TCGA-XQ-A8TA-01",0.8024
"cg27056119","TCGA-XQ-A8TB-01",0.3375
"cg27056119","TCGA-Y6-A8TL-01",0.4879
"cg27056119","TCGA-Y6-A9XI-01",0.3997
"cg27056119","TCGA-YJ-A8SW-01",0.7242
"cg27056119","TCGA-YL-A8HJ-01",0.3212
"cg27056119","TCGA-YL-A8HK-01",0.2388
"cg27056119","TCGA-YL-A8HL-01",0.6355
"cg27056119","TCGA-YL-A8HM-01",0.5235
"cg27056119","TCGA-YL-A8HO-01",0.347
"cg27056119","TCGA-YL-A8S8-01",0.4413
"cg27056119","TCGA-YL-A8S9-01",0.9521
"cg27056119","TCGA-YL-A8SA-01",0.6967
"cg27056119","TCGA-YL-A8SB-01",0.5879
"cg27056119","TCGA-YL-A8SC-01",0.4486
"cg27056119","TCGA-YL-A8SF-01",0.5027
"cg27056119","TCGA-YL-A8SH-01",0.5416
"cg27056119","TCGA-YL-A8SI-01",0.447
"cg27056119","TCGA-YL-A8SJ-01",0.4332
"cg27056119","TCGA-YL-A8SK-01",0.3674
"cg27056119","TCGA-YL-A8SL-01",0.6537
"cg27056119","TCGA-YL-A8SO-01",0.4597
"cg27056119","TCGA-YL-A8SP-01",0.7556
"cg27056119","TCGA-YL-A8SQ-01",0.5718
"cg27056119","TCGA-YL-A8SR-01",0.5369
"cg27056119","TCGA-YL-A9WH-01",0.5561
"cg27056119","TCGA-YL-A9WI-01",0.7779
"cg27056119","TCGA-YL-A9WJ-01",0.376
"cg27056119","TCGA-YL-A9WK-01",0.3849
"cg27056119","TCGA-YL-A9WL-01",0.8907
"cg27056119","TCGA-YL-A9WX-01",0.2292
"cg27056119","TCGA-YL-A9WY-01",0.318
"cg27056119","TCGA-ZG-A8QW-01",0.2701
"cg27056119","TCGA-ZG-A8QX-01",0.44
"cg27056119","TCGA-ZG-A8QY-01",0.3775
"cg27056119","TCGA-ZG-A8QZ-01",0.2704
"cg27056119","TCGA-ZG-A9KY-01",0.5395
"cg27056119","TCGA-ZG-A9L0-01",0.5515
"cg27056119","TCGA-ZG-A9L1-01",0.7093
"cg27056119","TCGA-ZG-A9L2-01",0.2385
"cg27056119","TCGA-ZG-A9L4-01",0.337
"cg27056119","TCGA-ZG-A9L5-01",0.6938
"cg27056119","TCGA-ZG-A9L6-01",0.5422
"cg27056119","TCGA-ZG-A9L9-01",0.2646
"cg27056119","TCGA-ZG-A9LB-01",0.5262
"cg27056119","TCGA-ZG-A9LM-01",0.5165
"cg27056119","TCGA-ZG-A9LN-01",0.1354
"cg27056119","TCGA-ZG-A9LS-01",0.3257
"cg27056119","TCGA-ZG-A9LU-01",0.1741
"cg27056119","TCGA-ZG-A9LY-01",0.3273
"cg27056119","TCGA-ZG-A9LZ-01",0.6273
"cg27056119","TCGA-ZG-A9M4-01",0.4876
"cg27056119","TCGA-ZG-A9MC-01",0.2748
"cg27056119","TCGA-ZG-A9N3-01",0.1313
"cg27056119","TCGA-ZG-A9ND-01",0.5819
"cg27056119","TCGA-ZG-A9NI-01",0.5919
"cg12586150","TCGA-2A-A8VL-01",0.8959
"cg12586150","TCGA-2A-A8VO-01",0.9083
"cg12586150","TCGA-2A-A8VT-01",0.9117
"cg12586150","TCGA-2A-A8VV-01",0.943
"cg12586150","TCGA-2A-A8VX-01",0.9211
"cg12586150","TCGA-2A-A8W1-01",0.9365
"cg12586150","TCGA-2A-A8W3-01",0.8812
"cg12586150","TCGA-2A-AAYF-01",0.9048
"cg12586150","TCGA-2A-AAYO-01",0.8119
"cg12586150","TCGA-2A-AAYU-01",0.8521
"cg12586150","TCGA-4L-AA1F-01",0.7527
"cg12586150","TCGA-CH-5737-01",0.9212
"cg12586150","TCGA-CH-5738-01",0.7723
"cg12586150","TCGA-CH-5739-01",0.8924
"cg12586150","TCGA-CH-5740-01",0.8817
"cg12586150","TCGA-CH-5741-01",0.9165
"cg12586150","TCGA-CH-5743-01",0.7166
"cg12586150","TCGA-CH-5744-01",0.887
"cg12586150","TCGA-CH-5745-01",0.8335
"cg12586150","TCGA-CH-5746-01",0.8631
"cg12586150","TCGA-CH-5748-01",0.9098
"cg12586150","TCGA-CH-5750-01",0.9234
"cg12586150","TCGA-CH-5751-01",0.6399
"cg12586150","TCGA-CH-5752-01",0.8998
"cg12586150","TCGA-CH-5753-01",0.9067
"cg12586150","TCGA-CH-5754-01",0.8159
"cg12586150","TCGA-CH-5761-01",0.8462
"cg12586150","TCGA-CH-5762-01",0.8037
"cg12586150","TCGA-CH-5763-01",0.7557
"cg12586150","TCGA-CH-5764-01",0.8714
"cg12586150","TCGA-CH-5765-01",0.8988
"cg12586150","TCGA-CH-5766-01",0.849
"cg12586150","TCGA-CH-5767-01",0.9167
"cg12586150","TCGA-CH-5768-01",0.913
